ego1,ego2,term,semester,academic_year,college_year,crn
10841,39783,201100,Summer 2011 / AP,2011-2012,Pre-College,3243
10841,11692,201110,Fall 2011,2011-2012,Freshman,101001001
10841,11692,201110,Fall 2011,2011-2012,Freshman,101001002
10841,15071,201110,Fall 2011,2011-2012,Freshman,14270
10841,16933,201110,Fall 2011,2011-2012,Freshman,10870
10841,17353,201110,Fall 2011,2011-2012,Freshman,201001001
10841,17353,201110,Fall 2011,2011-2012,Freshman,201002002
10841,17353,201110,Fall 2011,2011-2012,Freshman,201003003
10841,23144,201110,Fall 2011,2011-2012,Freshman,10710
10841,24543,201110,Fall 2011,2011-2012,Freshman,13154
10841,28831,201110,Fall 2011,2011-2012,Freshman,13066
10841,29914,201110,Fall 2011,2011-2012,Freshman,12447
10841,39783,201110,Fall 2011,2011-2012,Freshman,15002
11692,13799,201110,Fall 2011,2011-2012,Freshman,11528
11692,26999,201110,Fall 2011,2011-2012,Freshman,13157
11692,26999,201110,Fall 2011,2011-2012,Freshman,19061
11692,32100,201110,Fall 2011,2011-2012,Freshman,13742
11692,91064,201110,Fall 2011,2011-2012,Freshman,12194
13799,15723,201110,Fall 2011,2011-2012,Freshman,13159
13799,23144,201110,Fall 2011,2011-2012,Freshman,14895
13799,26999,201110,Fall 2011,2011-2012,Freshman,12220
14106,15071,201110,Fall 2011,2011-2012,Freshman,101002002
14106,15723,201110,Fall 2011,2011-2012,Freshman,101003003
14106,15776,201110,Fall 2011,2011-2012,Freshman,101004004
14106,18420,201110,Fall 2011,2011-2012,Freshman,13744
14106,22745,201110,Fall 2011,2011-2012,Freshman,11916
14106,23144,201110,Fall 2011,2011-2012,Freshman,101005005
14106,23144,201110,Fall 2011,2011-2012,Freshman,101006006
14106,26425,201110,Fall 2011,2011-2012,Freshman,101007007
14106,36006,201110,Fall 2011,2011-2012,Freshman,13161
14106,46771,201110,Fall 2011,2011-2012,Freshman,101008009
14106,51552,201110,Fall 2011,2011-2012,Freshman,14692
14106,53275,201110,Fall 2011,2011-2012,Freshman,101008008
14106,63188,201110,Fall 2011,2011-2012,Freshman,18352
14106,77291,201110,Fall 2011,2011-2012,Freshman,10869
15071,16313,201110,Fall 2011,2011-2012,Freshman,13160
15071,23040,201110,Fall 2011,2011-2012,Freshman,11800
15071,24543,201110,Fall 2011,2011-2012,Freshman,10913
15071,29914,201110,Fall 2011,2011-2012,Freshman,12198
15071,38927,201110,Fall 2011,2011-2012,Freshman,12438
15723,15776,201110,Fall 2011,2011-2012,Freshman,14269
15723,26425,201110,Fall 2011,2011-2012,Freshman,10872
15723,37617,201110,Fall 2011,2011-2012,Freshman,10709
15776,18420,201110,Fall 2011,2011-2012,Freshman,13163
15776,32100,201110,Fall 2011,2011-2012,Freshman,12577
15776,69065,201110,Fall 2011,2011-2012,Freshman,11992
16313,23040,201110,Fall 2011,2011-2012,Freshman,12191
16313,95400,201110,Fall 2011,2011-2012,Freshman,10516
16933,18420,201110,Fall 2011,2011-2012,Freshman,10841
16933,18420,201110,Fall 2011,2011-2012,Freshman,101004005
16933,29914,201110,Fall 2011,2011-2012,Freshman,12239
16933,29914,201110,Fall 2011,2011-2012,Freshman,16132
16933,71518,201110,Fall 2011,2011-2012,Freshman,12101
16933,83568,201110,Fall 2011,2011-2012,Freshman,10091
17353,19066,201110,Fall 2011,2011-2012,Freshman,13155
17353,21350,201110,Fall 2011,2011-2012,Freshman,15891
17353,26425,201110,Fall 2011,2011-2012,Freshman,13067
17353,44520,201110,Fall 2011,2011-2012,Freshman,13164
17353,51597,201110,Fall 2011,2011-2012,Freshman,201004004
17353,51597,201110,Fall 2011,2011-2012,Freshman,201005005
17353,92070,201110,Fall 2011,2011-2012,Freshman,15320
18420,24543,201110,Fall 2011,2011-2012,Freshman,101005006
18420,24760,201110,Fall 2011,2011-2012,Freshman,13042
18420,44520,201110,Fall 2011,2011-2012,Freshman,10805
18420,71518,201110,Fall 2011,2011-2012,Freshman,18662
19066,24853,201110,Fall 2011,2011-2012,Freshman,10118
19066,51722,201110,Fall 2011,2011-2012,Freshman,12839
19066,60482,201110,Fall 2011,2011-2012,Freshman,18653
22617,24543,201110,Fall 2011,2011-2012,Freshman,14271
22617,53884,201110,Fall 2011,2011-2012,Freshman,18649
22617,57637,201110,Fall 2011,2011-2012,Freshman,11963
22745,24760,201110,Fall 2011,2011-2012,Freshman,15533
22745,33094,201110,Fall 2011,2011-2012,Freshman,101002003
22745,33094,201110,Fall 2011,2011-2012,Freshman,101003004
22745,51102,201110,Fall 2011,2011-2012,Freshman,13162
23040,45000,201110,Fall 2011,2011-2012,Freshman,11221
23040,66754,201110,Fall 2011,2011-2012,Freshman,14776
23144,24543,201110,Fall 2011,2011-2012,Freshman,101006007
24543,38927,201110,Fall 2011,2011-2012,Freshman,11801
24760,26999,201110,Fall 2011,2011-2012,Freshman,11960
24760,33094,201110,Fall 2011,2011-2012,Freshman,12472
24760,51102,201110,Fall 2011,2011-2012,Freshman,19763
24760,61280,201110,Fall 2011,2011-2012,Freshman,12435
24853,52441,201110,Fall 2011,2011-2012,Freshman,15718
25171,25494,201110,Fall 2011,2011-2012,Freshman,11203
25171,25494,201110,Fall 2011,2011-2012,Freshman,15158
25171,36951,201110,Fall 2011,2011-2012,Freshman,15227
25171,40629,201110,Fall 2011,2011-2012,Freshman,101001004
25171,66991,201110,Fall 2011,2011-2012,Freshman,10168
25171,72700,201110,Fall 2011,2011-2012,Freshman,12448
25323,36951,201110,Fall 2011,2011-2012,Freshman,15154
25494,29914,201110,Fall 2011,2011-2012,Freshman,13156
26425,46771,201110,Fall 2011,2011-2012,Freshman,101007008
26425,48187,201110,Fall 2011,2011-2012,Freshman,12273
26425,52923,201110,Fall 2011,2011-2012,Freshman,12315
26425,92070,201110,Fall 2011,2011-2012,Freshman,11997
26999,48187,201110,Fall 2011,2011-2012,Freshman,11915
26999,57637,201110,Fall 2011,2011-2012,Freshman,14268
28831,32100,201110,Fall 2011,2011-2012,Freshman,15526
28831,39783,201110,Fall 2011,2011-2012,Freshman,13061
28831,83184,201110,Fall 2011,2011-2012,Freshman,12152
32100,40629,201110,Fall 2011,2011-2012,Freshman,15156
32174,63757,201110,Fall 2011,2011-2012,Freshman,101002004
32174,66245,201110,Fall 2011,2011-2012,Freshman,12312
32174,72700,201110,Fall 2011,2011-2012,Freshman,18850
32174,95798,201110,Fall 2011,2011-2012,Freshman,10029
33094,38927,201110,Fall 2011,2011-2012,Freshman,11654
33094,63757,201110,Fall 2011,2011-2012,Freshman,101005007
33094,85970,201110,Fall 2011,2011-2012,Freshman,11964
36951,51102,201110,Fall 2011,2011-2012,Freshman,10539
36951,78911,201110,Fall 2011,2011-2012,Freshman,12441
37617,44956,201110,Fall 2011,2011-2012,Freshman,11353
37617,70889,201110,Fall 2011,2011-2012,Freshman,12852
38927,46021,201110,Fall 2011,2011-2012,Freshman,13158
38927,51552,201110,Fall 2011,2011-2012,Freshman,10912
40629,45292,201110,Fall 2011,2011-2012,Freshman,12149
40629,60482,201110,Fall 2011,2011-2012,Freshman,101003005
40629,83568,201110,Fall 2011,2011-2012,Freshman,12181
40629,84472,201110,Fall 2011,2011-2012,Freshman,101004006
44520,51552,201110,Fall 2011,2011-2012,Freshman,201001002
44520,92070,201110,Fall 2011,2011-2012,Freshman,201003004
44520,92070,201110,Fall 2011,2011-2012,Freshman,201004005
44956,51722,201110,Fall 2011,2011-2012,Freshman,18570
44956,58909,201110,Fall 2011,2011-2012,Freshman,12881
45000,50947,201110,Fall 2011,2011-2012,Freshman,10028
45292,99367,201110,Fall 2011,2011-2012,Freshman,10158
45945,52441,201110,Fall 2011,2011-2012,Freshman,12944
46021,78966,201110,Fall 2011,2011-2012,Freshman,10799
46021,78966,201110,Fall 2011,2011-2012,Freshman,12848
46160,51675,201110,Fall 2011,2011-2012,Freshman,10742
46160,51675,201110,Fall 2011,2011-2012,Freshman,19349
46160,52385,201110,Fall 2011,2011-2012,Freshman,16726
46771,52385,201110,Fall 2011,2011-2012,Freshman,12439
48187,53275,201110,Fall 2011,2011-2012,Freshman,101009009
48187,83568,201110,Fall 2011,2011-2012,Freshman,18727
49294,53275,201110,Fall 2011,2011-2012,Freshman,12267
49294,53884,201110,Fall 2011,2011-2012,Freshman,12851
49294,99367,201110,Fall 2011,2011-2012,Freshman,14577
51102,95798,201110,Fall 2011,2011-2012,Freshman,16547
51722,52441,201110,Fall 2011,2011-2012,Freshman,12136
51722,78911,201110,Fall 2011,2011-2012,Freshman,12018
51722,95994,201110,Fall 2011,2011-2012,Freshman,10562
52385,95798,201110,Fall 2011,2011-2012,Freshman,20179
52923,73303,201110,Fall 2011,2011-2012,Freshman,10537
53275,68633,201110,Fall 2011,2011-2012,Freshman,15660
58909,74916,201110,Fall 2011,2011-2012,Freshman,18550
60482,63757,201110,Fall 2011,2011-2012,Freshman,15588
60482,78966,201110,Fall 2011,2011-2012,Freshman,10517
61280,95400,201110,Fall 2011,2011-2012,Freshman,12913
63188,66245,201110,Fall 2011,2011-2012,Freshman,11795
66754,83184,201110,Fall 2011,2011-2012,Freshman,13630
66991,71627,201110,Fall 2011,2011-2012,Freshman,18482
66991,99856,201110,Fall 2011,2011-2012,Freshman,10117
68633,95994,201110,Fall 2011,2011-2012,Freshman,19604
69065,73303,201110,Fall 2011,2011-2012,Freshman,10868
70889,78966,201110,Fall 2011,2011-2012,Freshman,12188
72700,98639,201110,Fall 2011,2011-2012,Freshman,10522
75178,90289,201110,Fall 2011,2011-2012,Freshman,18647
83568,90289,201110,Fall 2011,2011-2012,Freshman,14691
92699,98639,201110,Fall 2011,2011-2012,Freshman,12844
10841,15776,201120,Spring 2012,2011-2012,Freshman,22733
10841,26425,201120,Spring 2012,2011-2012,Freshman,20273
10841,26425,201120,Spring 2012,2011-2012,Freshman,20704
10841,40997,201120,Spring 2012,2011-2012,Freshman,21659
10841,44956,201120,Spring 2012,2011-2012,Freshman,24636
10841,52385,201120,Spring 2012,2011-2012,Freshman,201005005
11692,16313,201120,Spring 2012,2011-2012,Freshman,24634
11692,22617,201120,Spring 2012,2011-2012,Freshman,24643
11692,24760,201120,Spring 2012,2011-2012,Freshman,20226
11692,33094,201120,Spring 2012,2011-2012,Freshman,26973
11692,39783,201120,Spring 2012,2011-2012,Freshman,20202
11692,63063,201120,Spring 2012,2011-2012,Freshman,25566
13799,14106,201120,Spring 2012,2011-2012,Freshman,24631
13799,15723,201120,Spring 2012,2011-2012,Freshman,22543
14106,18420,201120,Spring 2012,2011-2012,Freshman,24503
14106,26999,201120,Spring 2012,2011-2012,Freshman,22200
14106,32100,201120,Spring 2012,2011-2012,Freshman,28281
15071,17353,201120,Spring 2012,2011-2012,Freshman,24632
15071,23144,201120,Spring 2012,2011-2012,Freshman,22195
15071,24543,201120,Spring 2012,2011-2012,Freshman,21006
15071,29914,201120,Spring 2012,2011-2012,Freshman,22685
15071,52385,201120,Spring 2012,2011-2012,Freshman,24426
15071,75178,201120,Spring 2012,2011-2012,Freshman,20002
15723,15776,201120,Spring 2012,2011-2012,Freshman,24633
15723,48187,201120,Spring 2012,2011-2012,Freshman,24498
15723,53275,201120,Spring 2012,2011-2012,Freshman,23895
15723,71627,201120,Spring 2012,2011-2012,Freshman,20146
15776,16313,201120,Spring 2012,2011-2012,Freshman,23896
15776,19066,201120,Spring 2012,2011-2012,Freshman,22197
15776,95400,201120,Spring 2012,2011-2012,Freshman,22164
16313,16933,201120,Spring 2012,2011-2012,Freshman,20517
16313,25323,201120,Spring 2012,2011-2012,Freshman,20821
16313,40997,201120,Spring 2012,2011-2012,Freshman,28835
16313,51722,201120,Spring 2012,2011-2012,Freshman,21899
16313,68633,201120,Spring 2012,2011-2012,Freshman,20628
16933,19066,201120,Spring 2012,2011-2012,Freshman,24635
16933,24760,201120,Spring 2012,2011-2012,Freshman,22348
16933,70889,201120,Spring 2012,2011-2012,Freshman,24659
16933,71518,201120,Spring 2012,2011-2012,Freshman,22353
16933,83184,201120,Spring 2012,2011-2012,Freshman,24418
17353,46771,201120,Spring 2012,2011-2012,Freshman,23349
17353,51722,201120,Spring 2012,2011-2012,Freshman,29084
