egoid,term,semester,academic_year,college_year,crn,final_grade,grade_points,is_letter_grade
10841,201120,Spring 2012,2011-2012,Freshman,20273,A,4.0,1
10841,201120,Spring 2012,2011-2012,Freshman,22081,A,4.0,1
10841,201200,Summer 2012,2012-2013,Sophomore,3435,A,4.0,1
10841,201210,Fall 2012,2012-2013,Sophomore,12382,A,4.0,1
10841,201310,Fall 2013,2013-2014,Junior,13201,A,4.0,1
10841,201310,Fall 2013,2013-2014,Junior,17242,A,4.0,1
10841,201320,Spring 2014,2013-2014,Junior,20969,A,4.0,1
10841,201320,Spring 2014,2013-2014,Junior,24573,A,4.0,1
10841,201320,Spring 2014,2013-2014,Junior,29712,A,4.0,1
10841,201420,Spring 2015,2014-2015,Senior,20518,A,4.0,1
10841,201420,Spring 2015,2014-2015,Senior,21251,A,4.0,1
10841,201100,Summer 2011 / AP,2011-2012,Pre-College,3243,A-,3.667,1
10841,201310,Fall 2013,2013-2014,Junior,15134,A-,3.667,1
10841,201410,Fall 2014,2014-2015,Senior,10868,A-,3.667,1
10841,201420,Spring 2015,2014-2015,Senior,29155,A-,3.667,1
10841,201110,Fall 2011,2011-2012,Freshman,101001001,AD,,0
10841,201110,Fall 2011,2011-2012,Freshman,101001002,AD,,0
10841,201110,Fall 2011,2011-2012,Freshman,201001001,AD,,0
10841,201110,Fall 2011,2011-2012,Freshman,201002002,AD,,0
10841,201110,Fall 2011,2011-2012,Freshman,201003003,AD,,0
10841,201120,Spring 2012,2011-2012,Freshman,201005005,AD,,0
10841,201110,Fall 2011,2011-2012,Freshman,12447,B,3.0,1
10841,201110,Fall 2011,2011-2012,Freshman,14270,B,3.0,1
10841,201120,Spring 2012,2011-2012,Freshman,21659,B,3.0,1
10841,201210,Fall 2012,2012-2013,Sophomore,10987,B,3.0,1
10841,201210,Fall 2012,2012-2013,Sophomore,12627,B,3.0,1
10841,201210,Fall 2012,2012-2013,Sophomore,13917,B,3.0,1
10841,201220,Spring 2013,2012-2013,Sophomore,20378,B,3.0,1
10841,201220,Spring 2013,2012-2013,Sophomore,25447,B,3.0,1
10841,201310,Fall 2013,2013-2014,Junior,10004,B,3.0,1
10841,201310,Fall 2013,2013-2014,Junior,12179,B,3.0,1
10841,201310,Fall 2013,2013-2014,Junior,12181,B,3.0,1
10841,201320,Spring 2014,2013-2014,Junior,20607,B,3.0,1
10841,201110,Fall 2011,2011-2012,Freshman,10870,B-,2.667,1
10841,201210,Fall 2012,2012-2013,Sophomore,13039,B-,2.667,1
10841,201220,Spring 2013,2012-2013,Sophomore,20232,B-,2.667,1
10841,201320,Spring 2014,2013-2014,Junior,21311,B-,2.667,1
10841,201410,Fall 2014,2014-2015,Senior,10009,B-,2.667,1
10841,201420,Spring 2015,2014-2015,Senior,22969,B-,2.667,1
10841,201110,Fall 2011,2011-2012,Freshman,10710,B+,3.333,1
10841,201110,Fall 2011,2011-2012,Freshman,13066,B+,3.333,1
10841,201120,Spring 2012,2011-2012,Freshman,20704,B+,3.333,1
10841,201320,Spring 2014,2013-2014,Junior,21667,B+,3.333,1
10841,201410,Fall 2014,2014-2015,Senior,10869,B+,3.333,1
10841,201410,Fall 2014,2014-2015,Senior,12062,B+,3.333,1
10841,201220,Spring 2013,2012-2013,Sophomore,20268,C,2.0,1
10841,201210,Fall 2012,2012-2013,Sophomore,10635,C+,2.333,1
10841,201210,Fall 2012,2012-2013,Sophomore,10986,C+,2.333,1
10841,201220,Spring 2013,2012-2013,Sophomore,25600,C+,2.333,1
10841,201110,Fall 2011,2011-2012,Freshman,13154,S,,0
10841,201110,Fall 2011,2011-2012,Freshman,15002,S,,0
10841,201120,Spring 2012,2011-2012,Freshman,22733,S,,0
10841,201120,Spring 2012,2011-2012,Freshman,24636,S,,0
10841,201220,Spring 2013,2012-2013,Sophomore,26458,S,,0
10841,201410,Fall 2014,2014-2015,Senior,21002,S,,0
11692,201120,Spring 2012,2011-2012,Freshman,20202,A,4.0,1
11692,201120,Spring 2012,2011-2012,Freshman,20226,A,4.0,1
11692,201120,Spring 2012,2011-2012,Freshman,24643,A,4.0,1
11692,201120,Spring 2012,2011-2012,Freshman,25566,A,4.0,1
11692,201120,Spring 2012,2011-2012,Freshman,26973,A,4.0,1
11692,201210,Fall 2012,2012-2013,Sophomore,11628,A,4.0,1
11692,201210,Fall 2012,2012-2013,Sophomore,12543,A,4.0,1
11692,201210,Fall 2012,2012-2013,Sophomore,12547,A,4.0,1
11692,201210,Fall 2012,2012-2013,Sophomore,12571,A,4.0,1
11692,201210,Fall 2012,2012-2013,Sophomore,14611,A,4.0,1
11692,201220,Spring 2013,2012-2013,Sophomore,20142,A,4.0,1
