egoid,term,semester,academic_year,college_year,courses_enrolled,graded_courses,term_gpa,courses_passed
10841,201100,Summer 2011 / AP,2011-2012,Pre-College,1,1,3.667,1
10841,201110,Fall 2011,2011-2012,Freshman,12,5,3.067,12
10841,201120,Spring 2012,2011-2012,Freshman,7,4,3.583,7
10841,201200,Summer 2012,2012-2013,Sophomore,1,1,4.0,1
10841,201210,Fall 2012,2012-2013,Sophomore,7,7,2.905,7
10841,201220,Spring 2013,2012-2013,Sophomore,6,5,2.6,6
10841,201310,Fall 2013,2013-2014,Junior,6,6,3.445,6
10841,201320,Spring 2014,2013-2014,Junior,6,6,3.5,6
10841,201410,Fall 2014,2014-2015,Senior,5,4,3.25,5
10841,201420,Spring 2015,2014-2015,Senior,4,4,3.583,4
11692,201110,Fall 2011,2011-2012,Freshman,8,5,3.333,8
11692,201120,Spring 2012,2011-2012,Freshman,6,5,4.0,6
11692,201210,Fall 2012,2012-2013,Sophomore,7,6,3.889,7
11692,201220,Spring 2013,2012-2013,Sophomore,5,5,3.933,5
11692,201310,Fall 2013,2013-2014,Junior,5,5,4.0,5
11692,201320,Spring 2014,2013-2014,Junior,6,6,3.889,6
11692,201410,Fall 2014,2014-2015,Senior,5,5,3.867,5
11692,201420,Spring 2015,2014-2015,Senior,5,4,3.833,5
13799,201110,Fall 2011,2011-2012,Freshman,6,5,2.733,6
13799,201120,Spring 2012,2011-2012,Freshman,6,5,3.2,6
13799,201210,Fall 2012,2012-2013,Sophomore,6,5,3.267,6
13799,201220,Spring 2013,2012-2013,Sophomore,5,4,3.5,5
13799,201310,Fall 2013,2013-2014,Junior,5,5,3.267,5
13799,201320,Spring 2014,2013-2014,Junior,4,3,2.889,4
13799,201400,Summer 2014,2014-2015,Senior,1,0,,1
13799,201410,Fall 2014,2014-2015,Senior,6,5,3.333,6
13799,201420,Spring 2015,2014-2015,Senior,4,4,3.583,4
14106,201110,Fall 2011,2011-2012,Freshman,15,5,3.467,15
14106,201120,Spring 2012,2011-2012,Freshman,7,5,3.933,7
14106,201210,Fall 2012,2012-2013,Sophomore,5,5,3.933,5
14106,201220,Spring 2013,2012-2013,Sophomore,6,6,4.0,6
14106,201310,Fall 2013,2013-2014,Junior,6,6,3.833,6
14106,201320,Spring 2014,2013-2014,Junior,5,5,3.8,5
14106,201410,Fall 2014,2014-2015,Senior,4,4,3.583,4
14106,201420,Spring 2015,2014-2015,Senior,3,3,3.778,3
15071,201110,Fall 2011,2011-2012,Freshman,8,5,3.867,8
15071,201120,Spring 2012,2011-2012,Freshman,6,5,3.933,6
15071,201210,Fall 2012,2012-2013,Sophomore,6,5,3.933,6
15071,201220,Spring 2013,2012-2013,Sophomore,5,5,4.0,5
15071,201310,Fall 2013,2013-2014,Junior,6,5,3.933,6
15071,201320,Spring 2014,2013-2014,Junior,5,5,3.8,5
15071,201410,Fall 2014,2014-2015,Senior,6,5,4.0,6
15071,201420,Spring 2015,2014-2015,Senior,6,5,4.0,6
15723,201110,Fall 2011,2011-2012,Freshman,9,5,2.6,9
15723,201120,Spring 2012,2011-2012,Freshman,6,5,3.067,6
15723,201200,Summer 2012,2012-2013,Sophomore,1,1,2.667,1
15723,201210,Fall 2012,2012-2013,Sophomore,7,6,2.833,7
15723,201220,Spring 2013,2012-2013,Sophomore,7,7,3.333,7
15723,201300,Summer 2013,2013-2014,Junior,1,1,4.0,1
15723,201310,Fall 2013,2013-2014,Junior,5,5,3.333,5
15723,201320,Spring 2014,2013-2014,Junior,5,4,4.0,5
15723,201400,Summer 2014,2014-2015,Senior,2,2,4.0,2
15723,201410,Fall 2014,2014-2015,Senior,4,4,4.0,4
15723,201420,Spring 2015,2014-2015,Senior,4,3,3.667,4
15776,201110,Fall 2011,2011-2012,Freshman,10,5,3.867,10
15776,201120,Spring 2012,2011-2012,Freshman,7,5,3.933,7
15776,201200,Summer 2012,2012-2013,Sophomore,1,1,4.0,1
15776,201210,Fall 2012,2012-2013,Sophomore,7,6,3.889,7
15776,201220,Spring 2013,2012-2013,Sophomore,8,8,4.0,8
15776,201300,Summer 2013,2013-2014,Junior,1,1,4.0,1
15776,201310,Fall 2013,2013-2014,Junior,5,5,4.0,5
15776,201320,Spring 2014,2013-2014,Junior,6,4,4.0,6
