ego_id,alter_id,is_study_peer,first_saved_week,last_saved_week,total_weeks_saved
10060,51722,1,59,91,33
10060,78911,1,59,91,33
10060,85596,1,59,91,33
10060,ext_00300370,0,59,91,33
10060,ext_0036847c,0,59,91,33
10060,ext_03161569,0,59,91,33
10060,ext_0d300293,0,59,91,33
10060,ext_0db00645,0,68,91,24
10060,ext_0fb4a571,0,59,91,33
10060,ext_10126ef0,0,59,91,33
10060,ext_11d2f280,0,59,91,33
10060,ext_14a8b438,0,59,91,33
10060,ext_14d45bbb,0,59,91,33
10060,ext_1822a610,0,76,91,16
10060,ext_1a0f71ed,0,59,91,33
10060,ext_1d2094d4,0,87,91,5
10060,ext_1d9ceeee,0,59,91,33
10060,ext_20bdbe8f,0,59,91,33
10060,ext_21680f99,0,62,91,30
10060,ext_221e1384,0,82,91,10
10060,ext_23f3889f,0,59,91,33
10060,ext_2d1bb849,0,59,91,33
10060,ext_2ee0e49a,0,59,91,33
10060,ext_312b820e,0,59,91,33
10060,ext_348ec274,0,59,91,33
10060,ext_3b30148f,0,59,91,33
10060,ext_3df917f2,0,59,91,33
10060,ext_3ef2dd2c,0,59,91,33
10060,ext_411a0a5a,0,59,91,33
10060,ext_440c27ad,0,59,91,33
10060,ext_45c37b30,0,59,91,33
10060,ext_47553e9d,0,69,91,23
10060,ext_495e43bf,0,59,91,33
10060,ext_4cbeefd1,0,59,91,33
10060,ext_502662bb,0,59,91,33
10060,ext_51808950,0,59,91,33
10060,ext_525cf269,0,59,91,33
10060,ext_5527417d,0,59,91,33
10060,ext_5bfd2142,0,59,91,33
10060,ext_5fc1c213,0,59,91,33
10060,ext_603410ab,0,59,91,33
10060,ext_60734707,0,59,91,33
10060,ext_69014275,0,88,91,4
10060,ext_6b4195a7,0,59,91,33
10060,ext_6c4a01d7,0,59,91,33
10060,ext_6f5d79ac,0,59,91,33
10060,ext_7220bd0d,0,89,91,3
10060,ext_7545e05d,0,59,91,33
10060,ext_7acf0f9d,0,65,91,27
10060,ext_7ba21e27,0,59,91,33
10060,ext_7d2649ac,0,62,91,30
10060,ext_7d7de641,0,59,91,33
10060,ext_7eaa148e,0,87,91,5
10060,ext_7f04a1b9,0,59,91,33
10060,ext_7f256924,0,59,91,33
10060,ext_7f8d8b10,0,59,91,33
10060,ext_807cc305,0,59,91,33
10060,ext_85259a53,0,59,91,33
10060,ext_87d7bae8,0,59,91,33
10060,ext_8b128b57,0,87,91,5
10060,ext_8b7ac4a0,0,59,91,33
10060,ext_8be37f3b,0,87,91,5
10060,ext_93b0939b,0,64,91,28
10060,ext_94a2d4e5,0,59,91,33
10060,ext_958baac7,0,59,91,33
10060,ext_971a7ca5,0,59,91,33
10060,ext_97a715b6,0,59,91,33
10060,ext_97ea6bbf,0,59,91,33
10060,ext_9841eb70,0,59,91,33
10060,ext_9d2c66c6,0,59,91,33
10060,ext_a0b57751,0,59,91,33
10060,ext_a197909a,0,59,91,33
10060,ext_a2e09c49,0,59,91,33
10060,ext_a3962972,0,85,91,7
10060,ext_a60c15a9,0,59,91,33
10060,ext_aea91b37,0,59,91,33
10060,ext_b375ad34,0,59,91,33
10060,ext_ba7f786f,0,59,91,33
10060,ext_bf10d9b4,0,59,91,33
10060,ext_bf7c7986,0,59,91,33
10060,ext_c014d723,0,59,91,33
10060,ext_c097c573,0,59,91,33
10060,ext_c14ed4cb,0,59,91,33
10060,ext_c34014d4,0,64,91,28
10060,ext_ca6777ef,0,59,91,33
10060,ext_ca798c5b,0,61,91,31
10060,ext_cac413b2,0,64,91,28
10060,ext_dda82fcc,0,59,91,33
10060,ext_e6100086,0,59,91,33
10060,ext_e83afa4f,0,59,91,33
10060,ext_e8837436,0,59,91,33
10060,ext_eb807df3,0,59,91,33
10060,ext_eb810d60,0,59,91,33
10060,ext_eb8982aa,0,59,91,33
10060,ext_ebec754f,0,59,91,33
10060,ext_ed8e4d32,0,59,91,33
10060,ext_ed9a2d83,0,89,91,3
10060,ext_f20a76d1,0,59,91,33
10060,ext_f2423df1,0,59,91,33
10060,ext_fac7b461,0,59,91,33
10060,ext_fb1fd99e,0,59,91,33
10060,ext_fcb0cd25,0,59,91,33
10281,10281,1,115,119,3
10281,18394,1,59,125,57
10281,ext_00b5f671,0,115,125,11
10281,ext_023594cd,0,75,102,23
10281,ext_03a75ca8,0,59,60,2
10281,ext_04f13864,0,59,125,55
10281,ext_05f96001,0,59,122,52
10281,ext_064f647b,0,59,125,55
10281,ext_06868afb,0,115,125,11
10281,ext_08ca04a2,0,109,125,16
10281,ext_0910820f,0,115,125,11
10281,ext_0b242bc9,0,73,125,43
10281,ext_0b6a452d,0,59,125,55
10281,ext_0c1cabd7,0,78,125,38
10281,ext_0db9c292,0,72,125,44
10281,ext_1226aa0b,0,59,125,55
10281,ext_182ec322,0,99,125,22
10281,ext_1c5c993a,0,59,125,55
10281,ext_1d65364a,0,121,125,5
10281,ext_1e927bc3,0,59,125,55
10281,ext_1ed9bfde,0,59,125,55
10281,ext_1fa7a7f0,0,59,125,55
10281,ext_2731f91c,0,59,125,55
10281,ext_280f0392,0,59,125,55
10281,ext_2f4bc061,0,59,125,55
10281,ext_308a28aa,0,115,125,11
10281,ext_320f1cc6,0,59,125,55
10281,ext_3210ea67,0,59,125,55
10281,ext_325973f7,0,109,125,16
10281,ext_3426d4c4,0,110,125,15
10281,ext_36120c78,0,59,125,40
10281,ext_36de82e2,0,59,125,55
10281,ext_39441c84,0,59,125,55
10281,ext_3b3a15a3,0,108,112,5
10281,ext_3c73283e,0,79,125,37
10281,ext_3ddc0e40,0,70,125,46
10281,ext_40e3fb44,0,59,102,37
10281,ext_4235a301,0,123,125,3
10281,ext_45c37b30,0,59,125,55
10281,ext_45dbb070,0,116,125,10
10281,ext_46d4c260,0,59,78,18
10281,ext_48b3c437,0,63,125,53
10281,ext_4cfad3a5,0,59,125,55
10281,ext_4dfd98e9,0,79,125,37
10281,ext_4eb3d1a5,0,109,111,3
10281,ext_50dcc860,0,59,125,55
10281,ext_53e3426f,0,115,125,11
10281,ext_53f7fbce,0,59,125,55
10281,ext_54221fdc,0,109,125,16
10281,ext_58aa6ef3,0,93,125,28
10281,ext_594d97de,0,59,125,55
10281,ext_595197ac,0,109,125,16
10281,ext_5af6497b,0,59,125,55
10281,ext_5f993116,0,59,102,37
10281,ext_6057183d,0,59,125,55
10281,ext_648a2593,0,59,125,55
10281,ext_66b1c9df,0,108,125,17
10281,ext_69ba88f7,0,73,125,43
10281,ext_6c4a01d7,0,110,125,15
10281,ext_76a4c8d6,0,99,125,22
10281,ext_77e969fe,0,59,122,52
10281,ext_7e2ce280,0,59,125,55
10281,ext_8282b7d4,0,108,122,14
10281,ext_82b1835d,0,59,125,55
10281,ext_8392dbe9,0,85,125,33
10281,ext_8423ded1,0,59,125,55
10281,ext_86fab797,0,59,125,55
10281,ext_8833c731,0,59,125,55
10281,ext_8e1cb7c1,0,59,125,55
10281,ext_8e3ab45e,0,112,125,13
10281,ext_9182c1b1,0,115,125,11
10281,ext_91a9f564,0,69,125,47
10281,ext_9264ef43,0,59,102,37
10281,ext_9446e0c0,0,115,125,11
10281,ext_96cab03d,0,59,84,22
10281,ext_96d181d4,0,59,125,55
10281,ext_979a1a18,0,112,125,13
10281,ext_9a9be816,0,59,125,55
10281,ext_9ac04bf2,0,59,125,55
10281,ext_9bd11992,0,109,125,16
10281,ext_a03b6a25,0,59,125,55
10281,ext_a2eb950c,0,59,125,55
10281,ext_a3ad116e,0,59,125,55
10281,ext_a772abf8,0,60,125,54
10281,ext_a801fa40,0,59,125,55
10281,ext_abd6af54,0,115,125,11
10281,ext_adcc6827,0,59,125,55
10281,ext_b4d7ca4e,0,59,125,55
10281,ext_b568e91c,0,59,125,55
10281,ext_b7dd1855,0,59,125,55
10281,ext_b8f39dfb,0,59,125,55
10281,ext_c00c2d38,0,59,125,55
10281,ext_c919e40d,0,59,125,55
10281,ext_c9cbd6b2,0,59,125,55
10281,ext_cc64b50d,0,109,125,16
10281,ext_cead503f,0,123,125,3
10281,ext_d1ac95f2,0,59,125,55
10281,ext_d4d56b0b,0,99,125,22
10281,ext_da46af22,0,110,125,15
10281,ext_df5fc3d6,0,102,125,19
10281,ext_e107c58d,0,59,125,55
10281,ext_e4af9cf1,0,59,125,55
10281,ext_e96c0d36,0,122,125,4
10281,ext_eb5a0c96,0,80,125,36
10281,ext_ee7b5629,0,59,125,55
10281,ext_ef615af2,0,59,125,55
10281,ext_ef7c92d4,0,60,125,54
10281,ext_f1157a96,0,59,125,55
10281,ext_f5fcfcf5,0,115,122,8
10281,ext_f8f5ee94,0,59,125,55
10281,ext_fbca1133,0,115,125,11
10281,ext_fd5fe6b3,0,59,125,55
