egoid,sender,wave,alters_nominated,potential_pairs,evaluated_pairs,perceived_ties,density
10353,5745407529,1,20,190,190,103,0.5421
16495,5743671665,1,20,190,190,127,0.6684
21350,5743671670,1,13,78,78,35,0.4487
26425,5745407589,1,20,190,190,109,0.5737
31583,5743671513,1,18,153,153,132,0.8627
32899,5745403124,1,20,190,190,137,0.7211
44167,5745407565,1,18,153,153,75,0.4902
48990,5745407143,1,8,28,28,28,1
50869,5745407540,1,20,190,190,74,0.3895
51552,5743671768,1,13,78,78,31,0.3974
52385,5745407545,1,8,28,28,15,0.5357
52615,5745407580,1,8,28,28,28,1
65591,5743671853,1,14,91,88,43,0.4725
69669,5745407578,1,20,190,190,12,0.0632
73175,5745407557,1,4,6,6,6,1
84472,5745407586,1,20,190,190,141,0.7421
94652,5743671679,1,20,190,190,89,0.4684
10060,5743671882,2,19,171,171,58,0.3392
10281,5743671516,2,15,105,105,72,0.6857
10353,5745407529,2,20,190,187,77,0.4053
10841,5745407560,2,17,136,136,57,0.4191
11023,5743671533,2,20,190,190,82,0.4316
11692,5743671951,2,5,10,10,6,0.6
13116,5745407567,2,20,190,54,17,0.0895
13799,5745407554,2,13,78,78,37,0.4744
13882,5743671691,2,20,190,190,109,0.5737
13896,5743671748,2,2,1,1,1,1
14106,5743671696,2,16,120,29,24,0.2
14188,5745407572,2,10,45,45,17,0.3778
14962,5743671902,2,9,36,36,25,0.6944
15071,5743671693,2,8,28,28,16,0.5714
15548,5743671692,2,6,15,15,15,1
16313,5745403479,2,20,190,190,102,0.5368
16495,5743671665,2,20,190,190,99,0.5211
17041,5745407556,2,12,66,66,29,0.4394
17353,5743671788,2,20,190,190,86,0.4526
18394,5745406164,2,13,78,78,50,0.641
19066,5745406529,2,11,55,55,21,0.3818
19844,5743671966,2,18,153,153,64,0.4183
21350,5743671670,2,19,171,171,47,0.2749
22540,5745407511,2,3,3,3,3,1
22617,5745407559,2,12,66,66,53,0.803
22745,5745407537,2,11,55,55,39,0.7091
22931,5743671786,2,13,78,78,62,0.7949
23040,5743671689,2,20,190,190,103,0.5421
23144,5743671924,2,20,190,190,87,0.4579
23642,5743671706,2,10,45,45,34,0.7556
24543,5745403337,2,11,55,55,25,0.4545
24760,5745407546,2,20,190,190,84,0.4421
24853,5743671740,2,20,190,190,112,0.5895
25171,5743671833,2,20,190,190,93,0.4895
25323,5743671729,2,18,153,153,70,0.4575
25494,5743671765,2,5,10,10,10,1
25544,5743671683,2,18,153,153,23,0.1503
25947,5743671872,2,20,190,190,87,0.4579
26127,5743671682,2,12,66,66,20,0.303
26425,5745407589,2,18,153,153,56,0.366
28831,5745407105,2,14,91,91,31,0.3407
29914,5743671760,2,13,78,78,32,0.4103
30076,5743671544,2,5,10,10,5,0.5
30952,5745407579,2,20,190,190,40,0.2105
31372,5743671517,2,12,66,66,26,0.3939
31583,5743671513,2,11,55,55,39,0.7091
32100,5745407561,2,16,120,120,63,0.525
32174,5743671930,2,20,190,190,61,0.3211
32899,5745403124,2,20,190,190,139,0.7316
33094,5743671802,2,12,66,66,47,0.7121
34250,5745407573,2,20,190,190,67,0.3526
34853,5745407539,2,20,190,190,74,0.3895
35227,5743671540,2,20,190,190,63,0.3316
36006,5743671905,2,16,120,120,45,0.375
36143,5743671732,2,5,10,10,8,0.8
36951,5745406587,2,20,190,190,85,0.4474
37617,5743671907,2,20,190,190,67,0.3526
38823,5743671762,2,12,66,66,36,0.5455
38893,5745407548,2,9,36,36,22,0.6111
38901,5743671918,2,11,55,55,29,0.5273
38927,5745403836,2,17,136,136,35,0.2574
39122,5745407516,2,20,190,190,51,0.2684
39783,5743671944,2,10,45,45,23,0.5111
40557,5743671915,2,15,105,105,50,0.4762
40629,5745403260,2,16,120,120,59,0.4917
40997,5745403704,2,20,190,190,98,0.5158
41393,5743671879,2,16,120,120,41,0.3417
44520,5743671746,2,12,66,66,21,0.3182
44947,5743671526,2,7,21,21,13,0.619
45000,5745407531,2,5,10,10,10,1
45292,5745403616,2,10,45,45,43,0.9556
45945,5745406998,2,12,66,66,40,0.6061
46021,5745406660,2,6,15,15,13,0.8667
46160,5745407530,2,20,190,190,75,0.3947
46584,5743671713,2,9,36,36,13,0.3611
46654,5745407541,2,20,190,190,106,0.5579
46771,5745403504,2,5,10,10,10,1
47230,5743671657,2,13,78,78,27,0.3462
48187,5743671848,2,8,28,28,19,0.6786
48990,5745407143,2,5,10,10,10,1
49294,5745407552,2,11,55,55,32,0.5818
49597,5743671855,2,3,3,3,3,1
50709,5745406891,2,10,45,45,29,0.6444
50869,5745407540,2,20,190,190,54,0.2842
50947,5745407544,2,20,190,190,54,0.2842
51102,5743671949,2,20,190,190,77,0.4053
51470,5745407568,2,15,105,105,52,0.4952
51552,5743671768,2,17,136,136,24,0.1765
51597,5745407583,2,20,190,190,48,0.2526
51675,5745407584,2,20,190,190,43,0.2263
51722,5745403040,2,7,21,21,11,0.5238
52067,5743671935,2,20,190,190,133,0.7
52441,5743671811,2,20,190,190,122,0.6421
52615,5745407580,2,4,6,6,6,1
52635,5745407571,2,20,190,190,61,0.3211
52923,5745403071,2,17,136,136,60,0.4412
53275,5745401837,2,20,190,190,51,0.2684
53884,5743671793,2,12,66,66,26,0.3939
55464,5745407535,2,8,28,28,12,0.4286
5745143917,5745143917,2,9,36,36,12,0.3333
5745143925,5745143925,2,20,190,190,123,0.6474
57637,5745407528,2,20,190,190,53,0.2789
57896,5745407558,2,11,55,55,25,0.4545
58909,5743671770,2,20,190,190,72,0.3789
59367,5745407549,2,20,190,190,88,0.4632
60830,5745407550,2,12,66,66,39,0.5909
61280,5745407156,2,6,15,15,9,0.6
62555,5745407564,2,20,190,190,15,0.0789
62560,5745401867,2,10,45,45,31,0.6889
63063,5743671559,2,20,190,190,94,0.4947
63188,5743671702,2,20,190,190,24,0.1263
63757,5743671938,2,20,190,190,89,0.4684
63817,5745403827,2,14,91,90,70,0.7692
64772,5745407135,2,12,66,66,33,0.5
65102,5745407585,2,6,15,14,10,0.6667
65526,5743671741,2,11,55,55,19,0.3455
66052,5743671844,2,10,45,45,30,0.6667
66404,5745406108,2,20,190,190,79,0.4158
66754,5743671813,2,17,136,136,61,0.4485
66991,5745403495,2,19,171,171,102,0.5965
67947,5743671967,2,12,66,66,44,0.6667
68494,5743671771,2,10,45,45,27,0.6
68533,5745407551,2,10,45,45,19,0.4222
68633,5743671705,2,20,190,190,65,0.3421
69065,5743671664,2,20,190,190,86,0.4526
69669,5745407578,2,12,66,66,6,0.0909
70889,5743671903,2,10,45,45,34,0.7556
71187,5743671784,2,5,10,10,4,0.4
71518,5743671644,2,20,190,190,68,0.3579
71627,5743671873,2,20,190,190,90,0.4737
71700,5745406425,2,20,190,190,28,0.1474
72700,5745407570,2,20,190,190,71,0.3737
72746,5743671704,2,9,36,36,20,0.5556
73175,5745407557,2,14,91,91,44,0.4835
73303,5745407542,2,20,190,190,86,0.4526
74916,5745407543,2,20,190,190,84,0.4421
75178,5745407562,2,20,190,190,52,0.2737
75261,5745407533,2,20,190,190,83,0.4368
75466,5745407575,2,15,105,105,35,0.3333
75468,5745406645,2,10,45,45,29,0.6444
76313,5743671922,2,20,190,190,61,0.3211
77023,5743671531,2,20,190,190,49,0.2579
77291,5745407563,2,17,136,136,69,0.5074
77824,5745401246,2,20,190,190,81,0.4263
78062,5743671869,2,17,136,136,44,0.3235
78966,5745407534,2,10,45,45,20,0.4444
79877,5743671906,2,19,171,171,64,0.3743
80193,5745407093,2,16,120,120,34,0.2833
82060,5743671941,2,19,171,171,76,0.4444
82282,5743671763,2,4,6,6,2,0.3333
83184,5745403569,2,2,1,1,1,1
83568,5745403617,2,11,55,55,36,0.6545
84215,5743671796,2,15,105,105,44,0.419
84472,5745407586,2,20,190,190,70,0.3684
84625,5743671928,2,8,28,28,19,0.6786
84841,5743671782,2,9,36,36,21,0.5833
85596,5745407577,2,11,55,55,17,0.3091
85970,5743671960,2,20,190,190,79,0.4158
86009,5743671649,2,7,21,20,20,0.9524
86237,5743671825,2,18,153,153,72,0.4706
86610,5745407527,2,20,190,190,65,0.3421
86727,5743671913,2,20,190,190,66,0.3474
88133,5745407532,2,12,66,66,20,0.303
88175,5743671703,2,7,21,21,18,0.8571
89827,5745407526,2,16,120,120,42,0.35
10060,5743671882,3,17,136,136,53,0.3897
10281,5743671516,3,15,105,105,61,0.581
10353,5745407529,3,20,190,190,56,0.2947
10841,5745407560,3,10,45,45,22,0.4889
11023,5743671533,3,19,171,171,74,0.4327
11360,5743671839,3,13,78,78,27,0.3462
13116,5745407567,3,5,10,10,4,0.4
13799,5745407554,3,20,190,190,76,0.4
13882,5743671691,3,20,190,190,89,0.4684
14106,5743671696,3,20,190,190,91,0.4789
14188,5745407572,3,12,66,66,34,0.5152
15071,5743671693,3,13,78,78,45,0.5769
15548,5743671692,3,6,15,15,15,1
16313,5745403479,3,16,120,120,62,0.5167
16495,5743671665,3,20,190,190,62,0.3263
17353,5743671788,3,7,21,21,9,0.4286
