egoid,alter_id,is_study_peer,study_week,stata_week,flow_in,flow_out,total_flow,is_saved_in_contacts
62560,176422,0,-1,2683,34,0,34,0
10060,143943,0,0,2684,0,1,1,0
10353,110922,0,0,2684,1,0,1,0
10353,111498,0,0,2684,1,0,1,0
10353,114644,0,0,2684,2,1,3,0
10353,122333,0,0,2684,2,2,4,0
10353,124533,0,0,2684,1,1,2,0
10353,133249,0,0,2684,3,2,5,0
10353,138837,0,0,2684,3,3,6,0
10353,151633,0,0,2684,1,1,2,0
10353,155618,0,0,2684,8,5,13,0
10353,161213,0,0,2684,1,0,1,0
10353,168211,0,0,2684,1,1,2,0
10353,191852,0,0,2684,1,0,1,0
10353,194679,0,0,2684,1,0,1,0
10353,195108,0,0,2684,6,5,11,0
10353,205770,0,0,2684,7,4,11,0
10353,209196,0,0,2684,1,0,1,0
10353,213948,0,0,2684,1,0,1,0
10353,230347,0,0,2684,0,1,1,0
10353,254076,0,0,2684,2,1,3,0
10353,306957,0,0,2684,1,0,1,0
10353,314228,0,0,2684,1,0,1,0
10353,332999,0,0,2684,2,1,3,0
10353,350175,0,0,2684,7,6,13,0
10353,365329,0,0,2684,0,1,1,0
10353,395256,0,0,2684,4,3,7,0
10353,421160,0,0,2684,1,0,1,0
10353,423948,0,0,2684,1,0,1,0
10353,457590,0,0,2684,1,1,2,0
10353,501838,0,0,2684,1,0,1,0
10353,562923,0,0,2684,1,0,1,0
10353,610647,0,0,2684,1,0,1,0
10353,619954,0,0,2684,3,2,5,0
10353,623626,0,0,2684,1,0,1,0
10353,783876,0,0,2684,1,0,1,0
10353,803160,0,0,2684,1,0,1,0
10841,17353,1,0,2684,6,8,14,0
10841,63757,1,0,2684,0,1,1,1
10841,88133,1,0,2684,5,10,15,1
10841,138473,0,0,2684,0,1,1,0
10841,151751,0,0,2684,7,9,16,0
10841,159548,0,0,2684,7,10,17,0
10841,765223,0,0,2684,3,4,7,0
11692,1261,0,0,2684,1,0,1,0
13116,209,0,0,2684,1,0,1,0
13116,312,0,0,2684,0,13,13,0
13116,1009,0,0,2684,1,0,1,0
13116,1476,0,0,2684,0,1,1,0
13116,1920,0,0,2684,1,0,1,0
13116,20905,1,0,2684,2,0,2,0
13116,26999,1,0,2684,2,0,2,0
13116,60830,1,0,2684,1,0,1,0
13116,62555,1,0,2684,17,37,54,0
13116,94795,0,0,2684,14,16,30,0
13116,102455,0,0,2684,2,2,4,0
13116,103496,0,0,2684,1,2,3,0
13116,131048,0,0,2684,42,44,86,0
13116,136263,0,0,2684,0,1,1,0
13116,146346,0,0,2684,0,1,1,0
13116,154810,0,0,2684,122,159,281,0
13116,155994,0,0,2684,3,5,8,0
13116,158496,0,0,2684,3,3,6,0
13116,164625,0,0,2684,2,2,4,0
13116,171719,0,0,2684,4,15,19,0
13116,181720,0,0,2684,0,1,1,0
13116,192073,0,0,2684,0,2,2,0
13116,194907,0,0,2684,0,2,2,0
13116,196594,0,0,2684,18,17,35,0
13116,204115,0,0,2684,0,1,1,0
13116,213811,0,0,2684,1,1,2,0
13116,227779,0,0,2684,0,1,1,0
13116,288179,0,0,2684,0,2,2,0
13116,302663,0,0,2684,0,2,2,0
13116,304200,0,0,2684,1,2,3,0
13116,314474,0,0,2684,1,0,1,0
13116,371167,0,0,2684,0,2,2,0
13116,408636,0,0,2684,0,3,3,0
13116,562459,0,0,2684,2,2,4,0
13116,581909,0,0,2684,0,2,2,0
13116,597367,0,0,2684,1,2,3,0
13116,627711,0,0,2684,0,2,2,0
13116,672190,0,0,2684,16,15,31,0
13116,673205,0,0,2684,1,0,1,0
13116,782360,0,0,2684,0,1,1,0
13116,851792,0,0,2684,0,1,1,0
13116,874107,0,0,2684,3,2,5,0
13116,880621,0,0,2684,11,10,21,0
14106,140480,0,0,2684,3,0,3,0
14188,312,0,0,2684,0,1,1,0
14188,1579,0,0,2684,2,0,2,0
14188,31583,1,0,2684,9,9,18,1
14188,100069,0,0,2684,0,1,1,0
14188,116293,0,0,2684,2,3,5,0
14188,139021,0,0,2684,0,1,1,0
14188,145230,0,0,2684,1,2,3,0
14188,151704,0,0,2684,0,1,1,0
