egoid,study_week,stata_week,indegree,outdegree,total_degree,sms_in,sms_out,total_sms,voice_in,voice_out,total_voice,total_communication
62560,-1,2683,1,0,1,34,0,34,0,0,0,34
10060,0,2684,0,1,1,0,1,1,0,0,0,1
10353,0,2684,33,18,51,68,41,109,2,0,2,111
10841,0,2684,5,7,12,28,34,62,0,9,9,71
11692,0,2684,1,0,1,1,0,1,0,0,0,1
13116,0,2684,26,35,61,225,266,491,48,108,156,647
14106,0,2684,1,0,1,0,0,0,3,0,3,3
14188,0,2684,9,34,43,33,66,99,1,9,10,109
15723,0,2684,1,0,1,1,0,1,0,0,0,1
16313,0,2684,35,66,101,142,188,330,3,5,8,338
17353,0,2684,4,5,9,2,2,4,5,9,14,18
18394,0,2684,5,2,7,52,49,101,2,0,2,103
18420,0,2684,3,2,5,1,0,1,2,2,4,5
18707,0,2684,2,0,2,3,0,3,2,0,2,5
19066,0,2684,2,5,7,7,8,15,0,6,6,21
19844,0,2684,3,3,6,5,4,9,4,8,12,21
20905,0,2684,13,17,30,31,25,56,4,28,32,88
22617,0,2684,12,13,25,113,101,214,13,11,24,238
22745,0,2684,17,17,34,82,78,160,0,1,1,161
22931,0,2684,34,68,102,132,171,303,11,15,26,329
24543,0,2684,5,5,10,6,4,10,1,3,4,14
24760,0,2684,4,6,10,47,49,96,1,8,9,105
25171,0,2684,0,1,1,0,0,0,0,1,1,1
26425,0,2684,9,8,17,49,44,93,6,11,17,110
26999,0,2684,13,13,26,89,118,207,14,56,70,277
28831,0,2684,0,5,5,0,2,2,0,3,3,5
29914,0,2684,2,0,2,22,0,22,0,0,0,22
30076,0,2684,2,2,4,9,8,17,0,0,0,17
30952,0,2684,13,17,30,22,24,46,33,65,98,144
31372,0,2684,4,10,14,39,37,76,0,8,8,84
31583,0,2684,1,1,2,1,1,2,0,0,0,2
32100,0,2684,0,4,4,0,1,1,0,3,3,4
32174,0,2684,1,3,4,1,0,1,0,3,3,4
33094,0,2684,2,1,3,2,1,3,0,0,0,3
34853,0,2684,38,74,112,110,151,261,3,12,15,276
35227,0,2684,1,4,5,1,3,4,0,3,3,7
36006,0,2684,3,3,6,3,3,6,0,1,1,7
36143,0,2684,6,8,14,13,8,21,4,10,14,35
36951,0,2684,1,0,1,1,0,1,0,0,0,1
38901,0,2684,9,10,19,18,12,30,3,8,11,41
39122,0,2684,15,28,43,40,49,89,7,16,23,112
39701,0,2684,0,3,3,0,0,0,0,3,3,3
40557,0,2684,4,4,8,11,10,21,0,2,2,23
40629,0,2684,1,1,2,3,3,6,0,0,0,6
40877,0,2684,2,3,5,14,20,34,0,1,1,35
41393,0,2684,1,1,2,1,1,2,0,0,0,2
44167,0,2684,5,6,11,22,15,37,2,7,9,46
44520,0,2684,0,1,1,0,0,0,0,2,2,2
44956,0,2684,1,1,2,0,0,0,1,1,2,2
45000,0,2684,10,11,21,21,25,46,1,5,6,52
45539,0,2684,1,1,2,3,2,5,0,0,0,5
45945,0,2684,18,11,29,119,106,225,0,0,0,225
46021,0,2684,7,8,15,53,45,98,1,7,8,106
46160,0,2684,2,4,6,4,5,9,0,0,0,9
46654,0,2684,7,8,15,55,51,106,4,8,12,118
46771,0,2684,9,14,23,43,40,83,3,6,9,92
48187,0,2684,1,1,2,1,1,2,0,0,0,2
48990,0,2684,3,2,5,7,8,15,2,0,2,17
49294,0,2684,4,6,10,53,41,94,2,19,21,115
50181,0,2684,7,12,19,7,3,10,5,22,27,37
50869,0,2684,6,5,11,18,15,33,1,2,3,36
51102,0,2684,6,5,11,21,19,40,0,1,1,41
51470,0,2684,2,4,6,34,24,58,1,6,7,65
51597,0,2684,4,3,7,3,1,4,4,9,13,17
51675,0,2684,1,3,4,0,0,0,4,5,9,9
52067,0,2684,1,1,2,2,2,4,0,0,0,4
52615,0,2684,18,17,35,36,29,65,5,29,34,99
52635,0,2684,6,6,12,23,6,29,6,15,21,50
52923,0,2684,1,1,2,0,0,0,1,2,3,3
53275,0,2684,3,9,12,14,17,31,1,18,19,50
53884,0,2684,1,1,2,2,2,4,1,0,1,5
55464,0,2684,5,3,8,9,6,15,2,5,7,22
57637,0,2684,9,12,21,13,19,32,1,3,4,36
57896,0,2684,12,15,27,82,92,174,2,12,14,188
60482,0,2684,4,7,11,5,9,14,0,7,7,21
60830,0,2684,15,25,40,79,77,156,25,44,69,225
61280,0,2684,7,6,13,23,20,43,3,5,8,51
62555,0,2684,10,21,31,46,40,86,18,85,103,189
62560,0,2684,16,16,32,97,52,149,7,11,18,167
63063,0,2684,5,5,10,16,17,33,0,1,1,34
63757,0,2684,3,0,3,3,0,3,0,0,0,3
65102,0,2684,2,7,9,6,4,10,4,21,25,35
65591,0,2684,21,13,34,68,65,133,36,44,80,213
66052,0,2684,10,12,22,22,7,29,22,40,62,91
66404,0,2684,1,2,3,5,0,5,4,2,6,11
66754,0,2684,6,6,12,11,12,23,1,2,3,26
66991,0,2684,3,4,7,10,8,18,1,5,6,24
68533,0,2684,1,1,2,0,0,0,1,2,3,3
69065,0,2684,1,0,1,1,0,1,0,0,0,1
69669,0,2684,4,10,14,36,38,74,6,16,22,96
70889,0,2684,4,4,8,11,8,19,1,2,3,22
71187,0,2684,1,1,2,1,0,1,0,2,2,3
71518,0,2684,0,1,1,0,0,0,0,1,1,1
71627,0,2684,5,0,5,6,0,6,0,0,0,6
71782,0,2684,2,3,5,7,12,19,2,0,2,21
72700,0,2684,0,1,1,0,0,0,0,1,1,1
75178,0,2684,9,12,21,7,8,15,26,41,67,82
75261,0,2684,4,6,10,9,7,16,1,7,8,24
75466,0,2684,4,3,7,4,1,5,1,4,5,10
76313,0,2684,2,1,3,0,0,0,4,1,5,5
