ego1,ego2,total_duration_sec,contact_count,mean_RSSI,max_RSSI,week
10060,10281,1218,3,-81.83,-77.0,8
10060,10353,138,1,-85.0,-85.0,8
10060,13116,360,1,-80.4,-80.4,8
10060,13799,2399,9,-82.56,-75.0,8
10060,13882,60,1,-82.0,-82.0,8
10060,13896,451,2,-78.5,-76.0,8
10060,14188,60,1,-83.0,-83.0,8
10060,15776,494,2,-79.69,-79.0,8
10060,16495,922,5,-82.13,-79.5,8
10060,16933,777,3,-76.83,-75.0,8
10060,18344,683,5,-79.4,-73.0,8
10060,18394,3219,20,-73.31,-53.5,8
10060,18420,345,2,-74.3,-71.6,8
10060,22617,230,2,-76.25,-72.0,8
10060,23040,1552,10,-82.49,-79.67,8
10060,26127,5067,15,-81.09,-67.96,8
10060,26999,481,4,-83.75,-81.0,8
10060,31372,60,1,-86.0,-86.0,8
10060,31583,481,3,-85.67,-84.0,8
10060,32100,60,1,-82.0,-82.0,8
10060,36951,60,1,-80.0,-80.0,8
10060,40557,470,4,-81.19,-79.0,8
10060,40629,3614,18,-80.45,-77.0,8
10060,45000,482,5,-76.84,-74.5,8
10060,45945,271,1,-77.4,-77.4,8
10060,46021,409,2,-82.2,-82.0,8
10060,46654,1803,15,-81.4,-74.0,8
10060,48429,85,1,-69.5,-69.5,8
10060,48990,297,2,-80.5,-79.0,8
10060,50869,60,1,-75.0,-75.0,8
10060,50947,60,1,-87.0,-87.0,8
10060,51675,60,1,-79.0,-79.0,8
10060,53275,247,3,-83.83,-80.0,8
10060,55464,60,1,-82.0,-82.0,8
10060,59367,60,1,-77.0,-77.0,8
10060,60830,60,1,-86.0,-86.0,8
10060,63063,2556,9,-79.81,-77.25,8
10060,63188,2052,16,-81.1,-77.0,8
10060,63757,377,2,-82.25,-82.0,8
10060,64772,4795,12,-72.38,-58.0,8
10060,66245,955,3,-79.69,-76.5,8
10060,66991,60,1,-82.0,-82.0,8
10060,68494,737,4,-81.71,-79.0,8
10060,71627,837,5,-80.35,-72.0,8
10060,71700,4009,13,-82.59,-78.4,8
10060,72700,259,1,-83.75,-83.75,8
10060,72746,193,1,-80.67,-80.67,8
10060,74916,180,3,-80.33,-77.0,8
10060,77291,60,1,-85.0,-85.0,8
10060,78062,60,1,-88.0,-88.0,8
10060,78966,60,1,-78.0,-78.0,8
10060,80193,60,1,-80.0,-80.0,8
10060,83184,2504,4,-73.31,-71.25,8
10060,85596,161747,79,-62.55,-35.0,8
10060,86352,240,4,-82.0,-80.0,8
10060,86610,666,6,-83.58,-79.0,8
10060,89827,60,1,-80.0,-80.0,8
10281,10353,60,1,-74.0,-74.0,8
10281,11692,297,2,-81.17,-80.0,8
10281,13116,1074,3,-75.49,-75.0,8
10281,13799,1143,1,-77.11,-77.11,8
10281,13882,301,5,-78.6,-69.0,8
10281,13896,610,6,-84.0,-80.0,8
10281,14188,4054,12,-74.97,-63.79,8
10281,15071,1000,7,-81.39,-78.5,8
10281,15723,117393,69,-68.1,-56.0,8
10281,15776,2663,13,-78.29,-67.4,8
10281,16495,180,3,-70.67,-66.0,8
10281,16933,238,3,-77.83,-72.0,8
10281,17353,60,1,-69.0,-69.0,8
10281,18344,356,3,-79.67,-74.0,8
10281,18394,584,6,-82.17,-73.0,8
10281,18707,60,1,-85.0,-85.0,8
10281,19066,60,1,-72.0,-72.0,8
10281,19844,942,3,-82.14,-79.43,8
10281,20905,60,1,-78.0,-78.0,8
10281,22617,1995,7,-79.0,-65.0,8
10281,22745,476,2,-81.83,-76.67,8
10281,22931,1565,1,-76.52,-76.52,8
10281,23040,507,4,-79.81,-73.0,8
10281,23144,60,1,-86.0,-86.0,8
10281,23642,240,2,-84.25,-82.5,8
10281,25323,597,2,-82.08,-80.5,8
10281,25494,180,3,-76.33,-70.0,8
10281,25544,60,1,-75.0,-75.0,8
10281,26999,1259,3,-76.75,-73.0,8
10281,28831,6050,25,-83.02,-76.0,8
10281,29914,180,3,-79.67,-76.0,8
10281,30952,5376,5,-61.93,-54.0,8
10281,31583,1111,7,-79.06,-66.44,8
10281,32100,1136,7,-82.85,-73.0,8
10281,32174,2348,13,-78.31,-71.86,8
10281,32899,321,1,-79.0,-79.0,8
10281,33094,60,1,-87.0,-87.0,8
10281,34250,143,1,-69.5,-69.5,8
10281,34853,376,5,-80.0,-74.0,8
10281,36143,299,4,-76.62,-74.5,8
10281,36951,192,2,-78.25,-75.5,8
10281,37617,120,2,-78.5,-75.0,8
10281,38893,440,4,-82.52,-80.4,8
10281,38927,664,7,-85.36,-80.0,8
10281,39253,60,1,-83.0,-83.0,8
10281,39783,60,1,-82.0,-82.0,8
10281,40557,1088,9,-80.78,-68.0,8
10281,40629,657,6,-81.69,-71.0,8
10281,40997,210,2,-75.75,-69.0,8
10281,44520,390,2,-74.3,-73.0,8
10281,44947,180,3,-66.33,-42.0,8
10281,45000,716,5,-83.24,-77.2,8
10281,45292,733,10,-83.65,-79.0,8
10281,45945,6520,8,-79.14,-67.71,8
10281,46021,1088,2,-78.25,-78.0,8
10281,46584,60,1,-68.0,-68.0,8
10281,46771,329,3,-76.92,-75.5,8
10281,48187,120,2,-80.0,-76.0,8
10281,48429,1125,5,-78.62,-71.67,8
10281,48990,574,3,-76.92,-75.0,8
10281,49294,180,3,-81.33,-78.0,8
10281,51102,756,3,-79.07,-73.0,8
10281,51675,60,1,-84.0,-84.0,8
10281,51722,60,1,-74.0,-74.0,8
10281,52067,60,1,-82.0,-82.0,8
10281,52441,543,5,-80.27,-79.0,8
10281,52615,415,2,-77.67,-77.33,8
10281,52635,60,1,-82.0,-82.0,8
10281,53275,60,1,-68.0,-68.0,8
10281,55464,120,2,-85.0,-82.0,8
10281,55594,4479,37,-78.41,-65.5,8
10281,59367,60,1,-71.0,-71.0,8
10281,62555,1055,1,-73.94,-73.94,8
10281,62560,643,4,-70.79,-64.67,8
10281,63063,60,1,-82.0,-82.0,8
10281,63757,60,1,-85.0,-85.0,8
10281,63817,307,5,-80.5,-76.0,8
10281,64772,3354,10,-79.04,-67.0,8
10281,65102,60,1,-86.0,-86.0,8
10281,65526,60,1,-76.0,-76.0,8
10281,66052,412,2,-78.67,-71.33,8
10281,66245,60,1,-81.0,-81.0,8
10281,66404,1528,9,-75.51,-69.0,8
10281,66754,310,4,-83.42,-79.0,8
10281,66991,2428,8,-80.69,-78.12,8
10281,68533,60,1,-76.0,-76.0,8
10281,69065,1574,7,-75.44,-67.0,8
10281,70889,303,3,-80.0,-73.0,8
10281,71627,120,2,-80.5,-80.0,8
10281,71700,120,2,-81.0,-75.0,8
10281,72700,473,3,-82.33,-80.5,8
10281,72746,1493,19,-83.18,-75.0,8
10281,73175,120,2,-78.5,-69.0,8
10281,73303,440,7,-85.64,-84.0,8
10281,74916,180,3,-78.0,-75.0,8
10281,75178,60,1,-75.0,-75.0,8
10281,75261,928,8,-81.27,-76.0,8
10281,75468,301,3,-83.0,-79.0,8
10281,77291,723,3,-80.54,-76.62,8
10281,78062,582,4,-76.5,-69.5,8
