egoid,study_week,year,iso_week,total_contacts_in_phone,study_peers_saved,external_contacts_saved,new_contacts_added,cumulative_contacts_observed
14106,37,2012,18,1,0,1,1,1
19066,37,2012,18,1,0,1,1,1
24760,37,2012,18,1,0,1,1,1
35227,37,2012,18,115,3,112,115,115
37617,37,2012,18,1,0,1,1,1
39122,37,2012,18,1,0,1,1,1
40997,37,2012,18,1,0,1,1,1
44956,37,2012,18,1,0,1,1,1
46021,37,2012,18,1,0,1,1,1
46771,37,2012,18,1,0,1,1,1
48187,37,2012,18,1,0,1,1,1
51102,37,2012,18,2,0,2,2,2
52615,37,2012,18,17,0,17,17,17
52635,37,2012,18,1,0,1,1,1
63063,37,2012,18,1,0,1,1,1
63188,37,2012,18,1,0,1,1,1
63757,37,2012,18,1,0,1,1,1
64772,37,2012,18,2,1,1,2,2
66754,37,2012,18,1,0,1,1,1
66991,37,2012,18,1,0,1,1,1
69065,37,2012,18,1,0,1,1,1
71187,37,2012,18,2,0,2,2,2
71518,37,2012,18,1,0,1,1,1
73303,37,2012,18,2,0,2,2,2
74916,37,2012,18,1,0,1,1,1
78062,37,2012,18,1,0,1,1,1
79877,37,2012,18,1,0,1,1,1
80058,37,2012,18,1,0,1,1,1
82282,37,2012,18,2,0,2,2,2
83184,37,2012,18,1,0,1,1,1
85596,37,2012,18,7,0,7,7,7
86009,37,2012,18,5,0,5,5,5
14106,38,2012,19,1,0,1,0,1
19066,38,2012,19,1,0,1,0,1
34853,38,2012,19,11,0,11,11,11
35227,38,2012,19,115,3,112,0,115
39122,38,2012,19,1,0,1,0,1
40997,38,2012,19,1,0,1,0,1
46021,38,2012,19,1,0,1,0,1
48187,38,2012,19,1,0,1,0,1
51102,38,2012,19,2,0,2,0,2
52615,38,2012,19,17,0,17,0,17
52635,38,2012,19,1,0,1,0,1
62555,38,2012,19,2,0,2,2,2
63063,38,2012,19,1,0,1,0,1
63188,38,2012,19,1,0,1,0,1
63757,38,2012,19,1,0,1,0,1
64772,38,2012,19,2,1,1,0,2
66754,38,2012,19,1,0,1,0,1
66991,38,2012,19,1,0,1,0,1
71187,38,2012,19,2,0,2,0,2
71518,38,2012,19,1,0,1,0,1
77291,38,2012,19,1,0,1,1,1
78062,38,2012,19,1,0,1,0,1
79877,38,2012,19,1,0,1,0,1
80058,38,2012,19,1,0,1,0,1
82282,38,2012,19,2,0,2,0,2
83184,38,2012,19,1,0,1,0,1
85596,38,2012,19,7,0,7,0,7
86009,38,2012,19,5,0,5,0,5
88133,38,2012,19,1,0,1,1,1
14106,39,2012,20,1,0,1,0,1
15548,39,2012,20,1,0,1,1,1
19066,39,2012,20,1,0,1,0,1
