btname,egoid
socs003,46584
socs004,13896
socs005,26127
socs006,69065
socs007,16495
socs008,18344
socs009,45539
socs010,24853
socs011,15071
socs013,23040
socs014,36143
socs015,39701
socs016,63188
socs017,25323
socs018,31583
socs019,21350
socs021,14962
socs022,49597
socs023,66052
socs025,19844
socs026,32174
socs027,53884
socs028,86237
socs029,38901
socs030,71187
socs031,17353
socs032,22931
socs033,84625
socs034,67947
socs035,25947
socs036,11023
socs038,52441
socs039,63063
socs040,15723
socs041,78911
socs042,44520
socs012,14106
socs043,10281
socs044,77023
socs045,66754
socs046,25494
socs047,15548
socs048,86009
socs049,82282
socs050,55594
socs051,23642
socs052,72746
socs053,38823
socs054,68494
socs055,65526
socs056,51552
socs057,84841
socs058,25544
socs059,68633
socs060,58909
socs061,29914
socs062,71518
socs063,13882
socs064,88175
socs065,18420
socs066,86727
socs067,48187
socs068,80058
socs069,60482
socs070,52067
socs071,25171
socs073,71627
socs074,11360
socs075,39783
socs076,18707
socs077,30076
socs078,76313
socs079,78062
socs080,40557
socs081,16933
socs082,23144
socs083,10060
socs084,39253
socs085,85970
socs086,11692
socs087,79877
socs088,51102
socs089,70889
socs090,36006
socs091,44956
socs092,33094
socs093,84215
socs094,41393
socs095,37617
socs096,63757
socs097,44947
socs098,31372
socs099,82060
socs100,35227
socs101,61280
socs102,78966
socs103,46771
socs104,15776
socs105,66991
socs106,66404
socs107,83184
socs109,18394
socs110,71782
socs111,86352
socs112,57637
socs113,46654
socs114,45000
socs115,34853
socs116,28831
socs117,55464
socs118,22745
socs119,68533
socs120,40877
socs121,48990
socs122,89827
socs124,10353
socs125,39122
socs126,24760
socs127,73303
socs128,52385
socs129,86610
socs130,46160
socs131,75261
socs132,78638
socs133,88133
socs134,53275
socs135,77824
socs136,24543
socs138,51722
socs139,52923
socs140,40629
socs141,32899
socs142,50709
socs143,75468
socs144,63817
socs145,36951
socs146,40997
socs147,48429
socs148,83568
socs149,45292
socs150,71700
socs151,62560
socs152,19066
socs153,16313
socs154,45945
socs155,46021
socs156,80193
socs157,64772
socs158,38927
socs159,22540
socs160,58168
socs161,73175
socs162,13799
socs163,66245
socs164,50947
socs165,50869
socs166,34250
socs167,51675
socs168,84472
socs169,72700
socs170,75466
socs171,65102
socs172,50181
socs173,51470
socs174,26425
socs175,10841
socs176,74916
socs177,38893
socs178,17041
socs179,59367
socs180,49294
socs181,52615
socs182,44167
socs183,26999
socs185,30952
socs186,75178
socs188,60830
socs189,13116
socs190,69669
socs191,22617
socs192,77291
socs193,62555
socs194,57896
socs195,32100
socs196,52635
socs197,14188
socs198,85596
socs199,51597
socs200,20905
