...1,Alumni,Badin,BP,Carroll,Cavanaugh,Dillon,Duncan,Farley,Fisher,Howard,Keenan,Keough,Knott,Lewis,Lyons,McGlinn,Morrissey,O'Neill,Pangborn,PE,PW,Ryan,St. Ed's,Siegfried,Sorin,Stanford,Walsh,Welsh-Fam,Zahm
Alumni,0 m,204 m,444.7 m,736.25 m,390 m,74.5 m,382 m,510 m,252 m,233 m,508 m,231 m,665 m,535 m,336 m,321 m,293 m,245 m,309 m,692.5 m,621 m,267 m,427 m,570 m,244 m,578 m,154 m,169 m,458 m
Badin,204 m,0 m,531 m,557 m,404 m,150 m,362 m,440 m,154 m,40 m,495 m,293 m,714 m,441 m,160 m,313 m,101 m,289 m,200 m,739 m,627 m,387 m,387 m,611 m,162 m,531 m,99 m,263 m,441 m
BP,444.7 m,531 m,0 m,978 m,94 m,505 m,815 m,69 m,636 m,440 m,167 m,670 m,228 m,345 m,637 m,750 m,569 m,637 m,605 m,253 m,140 m,696 m,202 m,111 m,347 m,224 m,394 m,617 m,119 m
Carroll,736.25 m,557 m,978 m,0 m,874 m,670 m,580 m,977 m,522 m,519 m,892 m,707 m,"1,192 m",726 m,408 m,630 m,450 m,659 m,474 m,"1,198 m","1,077 m",829 m,799 m,"1,072 m",642 m,898 m,644 m,752 m,873 m
Cavanaugh,390 m,404 m,94 m,874 m,0 m,435 m,737 m,123 m,555 m,431 m,133 m,605 m,328 m,265 m,527 m,680 m,479 m,635 m,615 m,333 m,220 m,657 m,107 m,203 m,247 m,192 m,300 m,570 m,64 m
Dillon,74.5 m,150 m,505 m,670 m,435 m,0 m,318 m,560 m,184 m,176 m,550 m,182 m,707 m,552 m,279 m,251 m,243 m,210 m,232 m,743 m,661 m,253 m,454 m,613 m,247 m,600 m,168 m,151 m,491 m
Duncan,382 m,362 m,815 m,580 m,737 m,318 m,0 m,866 m,199 m,342 m,840 m,212 m,"1,020 m",782 m,293 m,75 m,347 m,131 m,163 m,"1,058 m",960 m,295 m,742 m,928 m,513 m,893 m,440 m,255 m,785 m
Farley,510 m,440 m,69 m,977 m,123 m,560 m,866 m,0 m,691 m,557 m,119 m,723 m,207 m,304 m,661 m,800 m,604 m,755 m,723 m,217 m,98 m,767 m,182 m,95 m,370 m,153 m,429 m,684 m,107 m
Fisher,252 m,154 m,636 m,522 m,555 m,184 m,199 m,691 m,0 m,130 m,648 m,191 m,852 m,586 m,126 m,144 m,157 m,148 m,48 m,883 m,784 m,314 m,542 m,748 m,320 m,691 m,252 m,219 m,594 m
Howard,233 m,40 m,440 m,519 m,431 m,176 m,342 m,557 m,130 m,0 m,506 m,304 m,751 m,436 m,119 m,296 m,67 m,269 m,166 m,768 m,657 m,405 m,404 m,630 m,193 m,548 m,142 m,291 m,456 m
