dataset,variable,label,description
Network Survey Wave 1 (Summer 2011),sender,Study Participant's Number,NA
Network Survey Wave 1 (Summer 2011),position_1,NA,NA
Network Survey Wave 1 (Summer 2011),altername,Alter Name,NA
Network Survey Wave 1 (Summer 2011),receiver_string,Phone Number,NA
Network Survey Wave 1 (Summer 2011),receiver,Phone Number,NA
Network Survey Wave 1 (Summer 2011),email_1,Email,NA
Network Survey Wave 1 (Summer 2011),freqlast3months_1,Frequency Last 3 Months,NA
Network Survey Wave 1 (Summer 2011),freqlastyear_1,Frequency Last Year,NA
Network Survey Wave 1 (Summer 2011),closeness_1,Closeness,NA
Network Survey Wave 1 (Summer 2011),duration_1,"Duration of Relationship, in Years",NA
Network Survey Wave 1 (Summer 2011),emotionloving_1,Loving,NA
Network Survey Wave 1 (Summer 2011),emotionexciting_1,Exciting,NA
Network Survey Wave 1 (Summer 2011),emotionsignificant_1,Significant,NA
Network Survey Wave 1 (Summer 2011),notredamerelation_1,Relationship to Notre Dame,NA
Network Survey Wave 1 (Summer 2011),socialcontextSchool_1,Interacted at School,NA
Network Survey Wave 1 (Summer 2011),socialcontextClubReligious_1,Interacted at club or religious organization,NA
Network Survey Wave 1 (Summer 2011),socialcontexthomeneighborhood_1,Interacted at Home or Neighborhood,NA
Network Survey Wave 1 (Summer 2011),socialcontextwork_1,Interacted at Work,NA
Network Survey Wave 1 (Summer 2011),socialcontextinternet_1,Interacted over the internet,NA
Network Survey Wave 1 (Summer 2011),socialcontextcallingtexting_1,Interacted wth them through calling or texting,NA
Network Survey Wave 1 (Summer 2011),socialcontextholidays_1,Interacted with them over holidays,NA
Network Survey Wave 1 (Summer 2011),socialcontextother_1,Interacted with them Other,NA
Network Survey Wave 1 (Summer 2011),activitiesact01_1,5.activities [act01],NA
Network Survey Wave 1 (Summer 2011),activitiesact02_1,5.activities [act02],NA
Network Survey Wave 1 (Summer 2011),activitiesact03_1,5.activities [act03],NA
Network Survey Wave 1 (Summer 2011),activitiesact04_1,5.activities [act04],NA
Network Survey Wave 1 (Summer 2011),activitiesact05_1,5.activities [act05],NA
Network Survey Wave 1 (Summer 2011),sameactivities1_1,Does Activity 1,NA
Network Survey Wave 1 (Summer 2011),sameactivities2_1,Does actiivty 2,NA
Network Survey Wave 1 (Summer 2011),sameactivities3_1,Does activity 3,NA
Network Survey Wave 1 (Summer 2011),sameactivities4_1,Does Activity 4,NA
Network Survey Wave 1 (Summer 2011),sameactivities5_1,Does Activity 5,NA
Network Survey Wave 1 (Summer 2011),alterbooks_1,Enjoys books,NA
Network Survey Wave 1 (Summer 2011),altergames_1,Enjoys Games,NA
Network Survey Wave 1 (Summer 2011),altermovies_1,Enjoys Movies,NA
Network Survey Wave 1 (Summer 2011),altermusic_1,Enjoy Music,NA
Network Survey Wave 1 (Summer 2011),alterother_1,Other type of alter,NA
Network Survey Wave 1 (Summer 2011),alteroutdoor_1,Enjoys Outdoors,NA
Network Survey Wave 1 (Summer 2011),altersports_1,Enjoys Sports,NA
Network Survey Wave 1 (Summer 2011),alter10relsq001_sq019_1,alter10.rel [SQ001_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq002_sq019_1,alter10.rel [SQ002_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq003_sq019_1,alter10.rel [SQ003_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq004_sq019_1,alter10.rel [SQ004_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq005_sq019_1,alter10.rel [SQ005_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq006_sq019_1,alter10.rel [SQ006_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq007_sq019_1,alter10.rel [SQ007_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq008_sq019_1,alter10.rel [SQ008_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq009_sq019_1,alter10.rel [SQ009_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter10relsq010_sq019_1,alter10.rel [SQ010_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq001_sq019_1,alter11.rel [SQ001_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq002_sq019_1,alter11.rel [SQ002_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq003_sq019_1,alter11.rel [SQ003_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq004_sq019_1,alter11.rel [SQ004_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq005_sq019_1,alter11.rel [SQ005_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq006_sq019_1,alter11.rel [SQ006_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq007_sq019_1,alter11.rel [SQ007_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq008_sq019_1,alter11.rel [SQ008_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter11relsq009_sq019_1,alter11.rel [SQ009_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq001_sq019_1,alter12.rel [SQ001_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq002_sq019_1,alter12.rel [SQ002_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq003_sq019_1,alter12.rel [SQ003_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq004_sq019_1,alter12.rel [SQ004_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq005_sq019_1,alter12.rel [SQ005_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq006_sq019_1,alter12.rel [SQ006_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq007_sq019_1,alter12.rel [SQ007_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter12relsq008_sq019_1,alter12.rel [SQ008_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter13relsq001_sq019_1,alter13.rel [SQ001_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter13relsq002_sq019_1,alter13.rel [SQ002_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter13relsq003_sq019_1,alter13.rel [SQ003_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter13relsq004_sq019_1,alter13.rel [SQ004_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter13relsq005_sq019_1,alter13.rel [SQ005_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter13relsq006_sq019_1,alter13.rel [SQ006_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter13relsq007_sq019_1,alter13.rel [SQ007_SQ019],NA
Network Survey Wave 1 (Summer 2011),alter14relsq001_sq019_1,alter14.rel [SQ001_SQ019],NA
